MC_kts,Spd_kts,LD,sinkrate_kts
0,57,46.1,-1.236442516
0.2,59,46,-1.282608696
0.4,61,45.7,-1.334792123
0.6,62,45.2,-1.371681416
0.8,65,44.4,-1.463963964
1,67,43.6,-1.536697248
1.2,69,42.5,-1.623529412
1.4,72,41.5,-1.734939759
1.6,74,40.4,-1.831683168
1.7,76,39.4,-1.92893401
1.9,78,38.5,-2.025974026
2.1,79,37.8,-2.08994709
2.3,81,37.1,-2.18328841
2.5,82,36.3,-2.258953168
2.7,84,35.4,-2.372881356
2.9,86,34.7,-2.478386167
3.1,87,34.1,-2.551319648
3.3,88,33,-2.666666667
3.5,89,33.3,-2.672672673
3.7,89,32.9,-2.705167173
3.9,90,32.6,-2.760736196
4.1,91,32.3,-2.817337461
4.3,91,32,-2.84375
4.5,92,31.8,-2.893081761
4.7,92,31.5,-2.920634921
4.9,93,31.3,-2.971246006
5.1,93,31.1,-2.990353698
5.2,93,30.9,-3.009708738
5.4,94,30.7,-3.061889251
5.6,94,30.5,-3.081967213
5.8,94,30.3,-3.102310231
6,95,30.2,-3.145695364
6.2,95,30,-3.166666667
6.4,95,29.9,-3.177257525
6.6,95,29.7,-3.198653199
6.8,95,29.6,-3.209459459
7,96,29.4,-3.265306122
7.2,96,29.3,-3.276450512
7.4,96,29.2,-3.287671233
7.6,96,29,-3.310344828
7.8,96,28.9,-3.321799308
8,97,28.8,-3.368055556
8.2,97,28.7,-3.379790941
8.4,97,28.6,-3.391608392