Name,Rule1_glide_avg_gs_kts,Rule1_glide_avg_ias_kts,Rule1_glide_ratio,Rule1_glide_ratio_better_actual_MC,Rule1_ideal_MC_ias_given_avg_climb_kts,Rule1_glide_avg_dist_nmi,Rule1_avg_glide_netto_kt,Rule1_%_of_glide_netto_positive,Rule1_%_of_glide_sinkrate_positive,Rule2_avg_climb_rate_kts,Rule2_actual_MC_given_avg_ias_kts,Num_useful_thermals,Num_discarded_thermals_<75s_or_<500ft,Percent_discarded_thermals,Rule3_total_glide_distance_km,Rule3_total_glide_more_percent,Rule4_avg_altitude_ft,start_speed_gs_kts,start_altitude_ft,start_efficiency_score,height_loss_due_to_start_energy_ft,finish_speed_gs_kts,finish_altitude_ft,finish_efficiency_score,height_loss_due_to_finish_energy_ft,task_speed_kmh,task_distance_km,task_time_hmmss,total_glide_time_mmss,total_thermal_time_mmss,rank,task_time_behind_rank1_mmss,Rule1_time_behind_rank1_mmss,Rule1_time_behind_rank1_from_gs_mmss,Rule1_time_behind_rank1_from_ld_mmss,Rule2_time_behind_best_climb_mmss,Rule2_time_behind_rank1,Rule3_time_behind_rank1,Rule3_absolute_time_lost_mmss,Rule3_time_behind_straightest_mmss,Start_energy_time_behind_rank1,Finish_energy_time_behind_rank1
821 - Mark Rebuck,111,96,77.9,33.4,112.0,22.89,1.13,28,18,5.46,2.9,4,0,0,211.94,5.41,8009,88,6558,9.51,27,121,1827,8.17,413,184.29,200.77,1:08:57,'61:29,'07:29,1.0,'00:00,'00:00,'-00:00,'-00:00,'01:22,'00:00,'00:00,'03:15,'01:06,'00:00,'00:00
2MC - Marco Raaijmakers,113,99,67.3,25.0,113.0,12.5,1.02,26,21,5.6,3.5,5,3,37,208.31,3.69,7412,94,6479,9.07,68,80,2037,8.71,331,182.94,200.77,1:09:27,'59:31,'09:57,2.0,'00:30,'01:18,'-01:02,'02:20,'01:37,'-00:11,'-2:54,'02:09,'00:00,'00:04,'-00:10
95T - Trace Lewis,115,100,66.1,24.6,120.0,16.89,0.95,26,18,6.69,3.7,5,1,16,218.92,8.65,7550,84,6538,8.78,72,135,1893,7.49,606,179.79,200.77,1:10:40,'61:36,'09:05,3.0,'01:43,'00:11,'-02:02,'02:13,'00:00,'-01:22,'01:51,'05:06,'02:57,'00:03,'00:09
GJB - John Blyth,119,104,52.1,12.8,116.0,11.38,0.59,22,16,5.97,4.3,6,3,33,210.72,4.84,7756,86,6548,9.15,50,130,1853,7.77,519,179.59,200.77,1:10:45,'56:56,'13:50,4.0,'01:48,'02:59,'-03:56,'06:55,'01:29,'-00:38,'-1:27,'02:42,'00:33,'00:02,'00:07
SHM - Steve Minar,117,103,56.9,16.9,113.0,14.2,0.87,24,18,5.56,4.1,5,2,28,210.35,4.66,7190,92,6528,9.54,32,91,1916,8.86,277,178.66,200.77,1:11:07,'57:53,'13:15,5.0,'02:10,'02:32,'-03:00,'05:32,'02:14,'-00:08,'-1:24,'02:39,'00:30,'00:00,'-00:15
KG - Chris Grab,112,96,63.1,18.6,116.0,10.4,0.76,25,20,5.97,2.9,5,5,50,211.94,5.41,7975,78,6548,8.31,96,152,1811,7.13,697,178.0,200.77,1:11:23,'61:13,'10:11,6.0,'02:26,'02:45,'-00:31,'03:16,'01:05,'-00:38,'-1:58,'03:13,'01:04,'00:07,'00:24
HG1 - Ryan Wood,116,102,58.9,18.1,116.0,14.44,0.79,26,18,5.91,3.9,6,1,14,213.98,6.37,7275,83,6515,8.35,101,115,1958,7.95,494,177.86,200.77,1:11:26,'59:19,'12:08,7.0,'02:29,'02:01,'-02:31,'04:33,'01:24,'-00:34,'00:26,'03:41,'01:32,'00:07,'00:05
DC1 - Davis Chappins,110,96,64.2,22.2,111.0,9.54,0.99,24,14,5.71,3.1,5,6,54,212.05,5.47,7436,83,6555,8.92,61,50,1788,7.42,-55,175.89,200.77,1:12:14,'62:05,'10:10,8.0,'03:17,'03:39,'00:31,'03:07,'01:29,'-00:19,'00:04,'03:19,'01:10,'00:03,'-00:51
BG1 - Bryan Gill,116,102,52.4,13.7,110.0,14.31,0.8,24,17,5.54,4.1,6,1,14,212.0,5.44,7319,80,6555,8.61,78,76,2043,8.79,315,171.26,200.77,1:14:11,'58:52,'15:20,9.0,'05:14,'04:48,'-02:31,'07:20,'02:38,'-00:06,'-1:53,'03:08,'00:59,'00:05,'-00:11
107 - Cliff Jefferies,102,92,64.7,18.1,109.0,14.23,0.63,24,12,5.02,2.3,5,2,28,210.85,4.9,5136,79,6525,8.08,114,110,1811,8.61,307,161.82,200.77,1:18:31,'66:58,'11:34,10.0,'09:34,'08:33,'05:10,'03:23,'02:53,'00:39,'-1:57,'03:12,'01:03,'00:11,'-00:09
TT2 - Todd Tracy,106,92,58.9,12.3,110.0,16.43,0.42,22,13,5.15,2.3,5,1,16,213.04,5.93,7377,85,6541,8.94,63,131,1866,7.7,541,161.53,200.77,1:18:40,'65:05,'13:36,11.0,'09:43,'07:59,'02:45,'05:13,'03:07,'00:27,'00:30,'03:45,'01:36,'00:04,'00:17
DSR - Dave Scott,120,104,39.5,2.1,114.0,14.52,0.02,21,15,6.12,4.5,6,1,14,215.11,6.9,7635,85,6417,7.15,187,128,1873,7.78,521,160.37,200.77,1:19:14,'57:59,'21:16,12.0,'10:17,'08:52,'-04:23,'13:15,'01:48,'-00:48,'00:37,'03:52,'01:43,'00:15,'00:06
BWL - Brian LaBorde,103,91,70.6,23.4,113.0,16.76,0.81,27,20,5.54,2.1,5,1,16,217.28,7.9,6833,90,6551,9.64,22,61,2782,6.86,981,160.25,200.77,1:19:17,'68:05,'11:13,13.0,'10:20,'06:06,'04:33,'01:33,'01:55,'-00:06,'01:56,'05:11,'03:02,'-00:01,'01:00
4LT - John Beckley,109,94,60.3,15.1,116.0,11.02,0.58,26,18,5.91,2.7,5,5,50,224.46,11.14,7876,83,6453,7.45,163,150,2221,6.28,1085,160.24,200.77,1:19:18,'66:22,'12:57,14.0,'10:21,'05:11,'01:04,'04:07,'01:30,'-00:34,'03:47,'07:02,'04:53,'00:13,'01:04
RET - Raymond Troppmann,112,98,41.5,-1.5,113.0,9.49,-0.27,20,12,5.64,3.3,7,4,36,210.85,4.9,7462,88,6486,8.47,99,125,1902,7.79,523,156.49,200.77,1:21:12,'60:47,'20:26,15.0,'12:15,'12:27,'-00:31,'12:59,'03:12,'-00:14,'-1:39,'02:54,'00:45,'00:07,'00:10
GUN - Shico figueira,112,99,49.7,7.4,104.0,9.61,0.33,24,15,4.28,3.5,7,4,36,213.67,6.22,6893,91,6492,8.9,74,115,1843,8.32,379,153.6,200.77,1:22:43,'61:26,'21:18,16.0,'13:46,'10:32,'-00:31,'11:04,'07:40,'02:03,'00:28,'03:43,'01:34,'00:07,'00:08
JD2 - Johnny Dollar,103,91,50.5,3.3,105.0,10.99,0.19,23,17,4.51,2.1,5,5,50,223.81,10.85,6552,73,6528,7.54,143,140,1948,7.18,710,138.74,200.77,1:31:35,'69:57,'21:39,17.0,'22:38,'14:35,'04:33,'10:02,'07:03,'01:34,'03:59,'07:14,'05:05,'00:16,'00:48
TA3 - Frank Paynter,104,92,78.2,31.6,102.0,12.19,1.11,29,21,3.93,2.3,7,3,30,248.33,21.18,6288,92,6519,9.41,41,92,2040,8.37,407,138.12,200.77,1:32:00,'77:15,'14:43,18.0,'23:03,'03:51,'03:56,'-00:04,'06:04,'02:54,'11:33,'14:48,'12:39,'00:03,'00:17
PB5 - Philip Bernstein,111,98,43.6,0.6,102.0,4.47,0.1,22,17,3.95,3.3,8,18,69,223.68,10.8,7238,86,6430,7.44,168,104,1922,8.42,373,134.77,200.77,1:34:17,'64:45,'29:33,19.0,'25:20,'16:37,'-00:00,'16:37,'12:06,'02:51,'03:26,'06:41,'04:32,'00:22,'00:11
2PK - Peter Kelly,97,85,62.6,11.5,104.0,7.36,0.5,24,18,4.24,1.2,7,9,56,231.7,14.31,7315,115,6469,4.82,-77,122,2808,5.83,1403,132.16,200.77,1:36:09,'76:44,'19:26,20.0,'27:12,'13:16,'08:27,'04:48,'07:07,'02:09,'07:04,'10:19,'08:10,'-00:14,'02:31
ET2 - eric t,100,86,35.0,-14.6,105.0,7.03,-0.89,18,11,4.53,1.4,11,5,31,221.39,9.77,8026,60,6253,2.47,479,137,2450,6.16,1182,118.19,200.77,1:47:31,'71:18,'36:13,21.0,'38:34,'29:02,'06:26,'22:35,'11:41,'01:32,'03:25,'06:40,'04:31,'01:00,'01:50
